FSL Program Structure,,,,,,,,,Required AI Outputs [Phase 1],,,Required AI Outputs [Phase 2]	
Week ,Kaushal Bodh Questions Integrated,Sub-Pillar Anchoring ,Competencies ,LL : Competencies ,MM Competencies,HS Competencies,Session Description ,Period ,Weekly Objective -> Weekly Challenge,"Session Description
[Project Topic : Smart, Ethical Marketing in Future Digital Economy (Ads]
Human Services (Grade 8)",,"Learning Material 
Lesson Plan->PPT ->Worksheets-> Teaching Material "
"
Week 1 :

Explore ","-What will I be able to do?
-What will I need?
-Connecting with the world of jobs and careers
-Why is this relevant?","SP13.Global Citizenship & Cross-Culture Awareness
",MSP13.C1,"MSP13.C1/MSP3.C1 Recognises and appreciates similarities and differences across cultures, identities, and communities with respect and openess to learn from them  ",,,"Project Launch & Context Exploration – Introduce the project theme through a real-world problem, story, or scenario. Students discuss why the issue matters and how it connects to real-life situations, communities, or careers.",Block Period 1 : Challenge 1,"- Understand how marketing influences people and design ethical marketing ideas for real-world products.
- Awareness of digital platforms, understanding of ethics, curiosity about consumer behavior, and teamwork.
- Roles such as digital marketers, brand strategists, content creators, policy makers, and consumer rights advocates.
- Students interact daily with ads on platforms like Instagram, YouTube, and gaming apps. 
-Understanding ethical marketing helps them become responsible consumers and creators in a digital economy shaped by policies and social impact.","Session 1 : Students explore how marketing influences people, understand ethical concerns, and examine how policies impact communities.

1)Prompt discussion: What made you trust or distrust the ad?
Purpose: Spark curiosity and introduce ethical dilemmas in marketing.
2)Who is affected? (consumers, parents, companies)
   What could go wrong?
   Should there be rules?
Introduce: Policy and its impact on community (e.g., advertising standards, influencer disclosure rules in India) + Ethical responsibility of businesses 
3)Students reflect on: Ads they saw recently (online/offline)
   Whether they felt: Influenced/Misled/Informed
   Examples from different communities/languages/platforms 
Students begin recognizing differences in how marketing targets different groups and cultures
4)Discussion: What is ethical and unethical- Do all communities view all ads the same way?
Develop Ethical reasoning : Cross-cultural awareness & Civic thinking
5)Students Reflection : Why are marketing ethics needed? Who is it effecting? Why should we care as consumers?
",,"Primary -> Lesson Plan, 

Session PPT, Teaching Resources,Worksheet (if applicable)"
,,SP14.Readiness for the Future of Work & Career,MSP14.C2,"MSP14.C2 Connects personal strengths, interests, emerging aspirations, and preferred ways of working to possible roles, contributions, and future opportunities",,,"Understanding the Challenge – Students unpack the project question, identify key ideas, explore examples, and begin identifying what they will need to learn or investigate.",Block Period 2 : Challenge 2 ,,"Session 2 : Students unpack the project challenge, explore career connections, and begin linking personal interests to real-world roles.
1.Focus : 
-What is marketing?
-What makes it smart?
-What makes it ethical?
2. Case Study Exploration
-What worked?
-What failed?
-What would you change?
3. Students explore roles: Digital marketer, Content creator, Brand strategist,Policy maker,Consumer rights advocate - What could their role include?
Then reflect: Which role interests you?Why?
What am I good at? (creativity, speaking, analyzing)
What do I enjoy?
How could this connect to a role?
4. Align on what needs to be learnt  : How ads influence people; Rules/laws for advertising;Designing campaigns;Understanding audience
",,
,,"SP1. Knowing Self
SP2. Building Self","MSP1.C1, MSP2.C2","MSP1.C1 Understands how relationships, roles, and environments influence their developing identity and sense of self
MSP2.C2 Explore setting up short-term personal goals, monitor their progress, and adjust their strategies when facing obstacles",,,"Prior Knowledge & Curiosity Mapping – Students document what they already know, generate questions, and identify areas they want to explore further.",Single Period : Reflection ,,"Session 3 : Students reflect on what they already know, explore their identity as consumers/creators, and set learning goals.
1) Students individually list: What I know about marketing;What I know about ads online
2)Prompt:What kind of ads influence me?Why?
How do my friends/family influence my choices? (Roles, relationships, environments shaping identity)
3)Exploring questions by students (themes): How do ads go viral? What rules exist?How do brands target people?
4)Goal Setting :  
One thing I want to learn
One skill I want to improve
One challenge I might face",,
"Week 2 :

Learn","-What will I need to know before I start? 
(Core knowledge pieces)
- Meet an Expert
-What do I have to do? 
-Share what we know with others
-How do I keep myself and others safe? ","SP5. Environmental and Sustainability Literacy [LL]

SP15. Smart Systems and IoT/SP16. Robotics [MM]

SP4. Data, Digital, and Media Literacy [HS]","MSP5.C1,MSP4.C3 /

MSP15.C1, MSP15.C2/

MSP4.C1,MSP4.C3","MSP5.C1 - Analyzes the complex, interconnected nature of environmental and human systems (natural, social, and economic) and evaluates how human actions (local to global) generate long-term consequences across the dimensions of sustainability (e.g., climate change, resource depletion, equity). 
MSP4.C3 - Students interpret data representations (tables, charts, graphs, dashboards) to identify patterns, trends, correlations, or anomalies and use these insights to construct explanations, narratives, or predictions about real-world situations.","MSP15.C1  Identifies and connects microcontrollers to various sensors (like light or moisture) and actuators (like LEDs or motors) to create functional circuits that respond to the physical environment - Building the Bridge:
MSP15.C2  Demonstrates how to send and receive data between devices using basic cloud platforms or local networks, moving from controlling a single device to creating an automated ""smart"" sequence. - Connected Logic:
MSP16.C1 Develop algorithms incorporating conditional logic and abstraction. 
MSP16.C2 Implement systematic debugging and refinement processes. ","MSP4.C1 -Students select, customize, and apply appropriate digital tools (e.g., spreadsheets, presentation tools, media editing software, data visualization tools) to create multi-modal digital content that communicates ideas, research findings, or project outcomes effectively to a specific audience.
MSP4.C3 - Students interpret data representations (tables, charts, graphs, dashboards) to identify patterns, trends, correlations, or anomalies and use these insights to construct explanations, narratives, or predictions about real-world situations.","Concept Exploration – Introduce core concepts, tools, or systems needed for the project through demonstrations, discussion, or guided activities.",Block Period 1 : Challenge 3,"-Understand how data and digital tools are used in marketing
-Interpret basic data patterns to inform decisions
-Recognize the importance of ethical and safe marketing practices
-Apply learning to analyze and improve real-world examples
-Connect emerging skills to future career roles
-Demonstrate self-management and goal-setting in preparation for project work","Session 4 : Students understand how marketing uses data, digital tools, and media formats, and how to interpret and represent this information responsibly.
1)Introduces data-driven marketing
2)Target audience & segmentation
Basic data forms: Tables (age vs product preference)/Charts (most popular platform among teens)
Digital tools used in marketing: Canva (visuals)/Google Sheets (data)/Presentation tools
3)Identify patterns: Which platform is most popular? /What product fits which group?
Students create: A basic chart OR visual insight
4)Digital Tool 
5)What data is okay to use? :What is unsafe/unethical? (privacy, manipulation)",,
,,SP2. Building Self,MSP2.C1,"MSP2.C1 Identifies how emotions influence thoughts, behaviour, and interactions, develop awareness of their emotional responses in challenging situations and apply at least one strategy to regulate their emotions and impulse control",,,Case Study & Skill Practice – Students explore real-world examples or complete guided tasks to apply the concepts and practice key skills.,Block Period 2 : Challenge 4,,"Session 5 : Students analyze real-world marketing cases and practice applying ethical and strategic thinking.
1)Short recorded video/interview of: A)Digital marketer / influencer / small business owner
B)Teacher shares curated insights:“How brands decide what to show you”
Students note:What skills are needed?What challenges do experts face?
2) Case 1: Ethical Campaign - Transparent messaging/ Inclusive representation
Case 2: Problematic Campaign - Misleading claims / stereotypes / hidden ads
Students analyze: What was done?/What worked/didn’t?/What would you change?
3)Modify message - Add disclosures - Make it inclusive
4)What skill do I need to improve? - Designing/Thinking critically/Working in teams
",,
,,SP14.Readiness for the Future of Work & Career,"MSP14.C1, MSP14.C3","MSP14.C1 Demonstrates responsibility, persistence, and self-management in completing tasks, routines, and group commitments, and begins developing consistent habits that support learning and wellbeing of self and others
MSP14.C3 Applies simple planning, organisation, and decision-making skills to set short goals, manage time, monitor personal progress, and collaborate effectively in shared tasks         ",,,"Knowledge Consolidation – Students summarize key learnings through notes, diagrams, or short explanations and discuss how the knowledge connects to the project challenge and set personal and team goals. ",Single Period : Reflection ,,"Session 6 : Students consolidate learning, connect it to the project challenge, and set clear individual and team goals.
1)Students create: A mind map / notes page: Marketing basics/Ethics/Data use/Tools
2)Prompt :How will this help us design our campaign?
Students identify: What they already know/What they still need
3) Project Planning Discuss possible roles:Designer/Researcher/Presenter/Ethics checker
4)Each student/team defines: Task for next week/Timeline (simple)
Team agreement: Responsibilities,Plan",,
"Week 3 : 

Find","-What problem around me do I want to/Can I solve(context based application)
-Identify User/Idea/problem/business
-Understanding the context better and user 
-Identify usp, idea elements and user study 
",SP11. Design Thinking,"MSP11.C1, MSP12.C1","MSP11.C1/MSP7.C1 - Conduct user research (interviews, observation) to understand a specific user's perspective (empathy), analyze the collected data (critical thinking), and synthesize it into a clear, focused ""How Might We."" (HMW) problem statement
",,,"Problem Exploration – Students investigate problems related to the project theme and analyze who is affected and why the issue matters.
",Block Period 1 : Challenge 5,"-Identify real-world problems or opportunities in their context

-Conduct basic user research (interviews, observations)

-Organize and evaluate data and information responsibly

-Develop empathy for users and communities

-Define a clear and relevant problem statement (HMW)

-Begin considering feasibility and resource constraints","Session 7 : Students identify real problems, understand who is affected, and validate whether the problem is meaningful and worth solving.
1)Students brainstorm issues related to: Misleading ads,Overconsumption,Lack of awareness,Poor product targeting
2)Students pick one problem and analyze: Who is affected?, Why does it matter?, What happens if it’s not solved?
3)Empathy Mapping - Students map: What users say, think, feel, do
Builds user-centered thinking
4)Draft Problem Statements - Students frame: People like ___ face ___ because ___
Then refine into: How Might We (HMW) questions
",,
,,"SP4. Data, Digital, and Media Literacy","MSP4.C2, MSP4.C4","MSP4.C2 - Students gather information and data from diverse sources, categorize and structure it meaningfully, and maintain organized datasets that can be used for analysis or decision-making
MSP4.C4 - Students critically evaluate digital and media information while demonstrating responsible and ethical behaviour in digital environments wrt to credibility, bias, and intent in online information sources, news, opinion, sponsored content, satire, and AI-generated content and digital interaction (copyright, attribution, privacy, AI use) and manage personal digital footprint.",,,"User Research & Data Gathering – Students conduct interviews, surveys, observations, or research to understand user needs or contextual constraints.",Block Period 2 : Challenge 6,,"Session 8 : Students gather, organize, and evaluate data to understand user needs and context.
1)Research Planning- Students decide:
Who will they talk to?
What will they ask?
Create: 10 interview questions
2)Data Collection : Conduct peer interviews Or Simulate interviews(TC) Or Observe behaviors (school-based)
3) Data Organization : Students record - Key responses, Patterns, Surprising insights
Use: Tables / simple charts
4)Credibility of sources : Bias in ads/content, Sponsored vs real opinions",,
,,"SP12. Entrepreneurial Mindset
SP13.Global Citizenship & Cross-Culture Awareness
",,"MSP12.C1 - Identify unmet needs and validate whether the problem is real, relevant, and worth solving by observing and identifying painpoints in their immediate surrounding and clearly articulating problem statements
MSP13.C1/MSP3.C1 Recognises and appreciates similarities and differences across cultures, identities, and communities with respect and openess to learn from them  ",,,Insights & Problem Framing – Students organize findings based on their learning and define a clear problem statement that they will attempt to solve.,Single Period : Reflection ,,"Session 9 : Students synthesize research insights and define a clear, actionable problem statement.
1. Insight Clustering - Students group findings into: Needs, Pain points,Behaviors
2. Define the Problem - Students refine their HMW statement
Checklist: Is it specific?, Is it user-focused?, Is it solvable?
3. Feasibility Thinking - Students reflect: What resources might be needed?, What constraints exist?
4. Share & Feedback : Quick peer review: “Does this problem make sense?”“Would solving this help people?”",,
"Week 4 : 

Create","-What are the critieria for a good solution?
-Further Details of your idea
-Making your idea 
-Upgrading your idea with tech other applications","SP5. Environmental and Sustainability Literacy [LL]

SP15. Smart Systems and IoT/SP16. Robotics  [MM]

SP4. Data, Digital, and Media Literacy [HS]","MSP5.C2, MSP5.C3/

MSP16.C3, MSP15.C3/

MSP4.C1, MSP6.C2","MSP5.C2 - Evaluates existing resource consumption patterns and management practices (e.g., waste, energy, water) and proposes evidence-based, sustainable solutions that align with principles of efficiency, equity, and a circular economy at the community level.
MSP5.C3 - Is aware of and communicates persuasive arguments and advocates effectively for environmental protection and sustainable development (SDG), demonstrating personal responsibility and leadership by participating in or initiating local projects aimed at systemic change.
","MSP16.C3Translate computational logic into functional automated systems/
MSP15.C3  Uses iterative prototyping to design a simple IoT solution for a school or home issue (e.g., an automated plant waterer or a smart light), explaining how the system manages resources more efficiently. - Solving with Systems:","MSP4.C1 -Students select, customize, and apply appropriate digital tools (e.g., spreadsheets, presentation tools, media editing software, data visualization tools) to create multi-modal digital content that communicates ideas, research findings, or project outcomes effectively to a specific audience.
","Idea Generation Workshop – Students brainstorm possible solutions using structured ideation techniques and evaluate options based on feasibility, impact, and relevance.",Block Period 1 : Challenge 7,"-Generate and evaluate multiple solution ideas

-Apply criteria-based decision-making

-Develop prototypes that represent their ideas

-Use design and digital tools effectively

-Incorporate ethical, cultural, and social considerations

-Reflect on their process, decisions, and personal growth

-Plan next steps for improving their solution","Session 10 : Students generate multiple solution ideas and evaluate them based on clear criteria like feasibility, impact, and ethical relevance.
1)Establish Succcess Criteria : What should a good marketing campaign include?
Teacher builds criteria: Ethical,Clear message,User-focused,Feasible,Creative
2)Techniques:Rapid brainstorming ,Worst possible idea” → flip into good idea,SCAMPER(simplify)
3)Students group similar ideas and identify themes
4)Students evaluate ideas using criteria: Idea / Feasible / Ethical / Impact /Best Choice
5) SDG / Social Impact Link 
Prompt: Does your idea-Promote awareness?Encourage responsible behavior? Connect to larger societal goals",,
